Customer name,Customer reference,Service rating,Service review title,Service review,NPS rating
Ornella,Giulia Riccato,5,Great service from start until now! Would highly recommend.,"Outstanding!

We had been turned away by multiple mortgage brokers because one of us had a default, and I had completely lost hope. I was extremely worried that we wouldn’t be able to get a mortgage. Thankfully, we found Giulia, and she was able to help us when others couldn’t.

Giulia put together a strong case for us and highlighted that, aside from the default, everything else was in very good shape — including my partner’s credit, which was almost as good as it could be. Thanks to her hard work and persistence, we ended up receiving a fantastic mortgage offer at an extremely good rate.

From the very beginning, Giulia was incredibly prompt, made time for us, and genuinely took the time to understand our situation and our circumstances. We never felt like just another case; she made us feel heard and supported throughout the entire process.

She took away so much of the stress and worry we had been carrying, and we honestly couldn’t be more grateful. We now have our house, and a huge part of that is thanks to Giulia.

Forever grateful, thank you so much, Giulia!",10
Kerry,Claire Lipscomb,5,10/10 across the board!,"Claire’s advice and help was invaluable when it came to finding the best deal for our remortgage. She took all the stress out of the process and saved us a lot of time, energy and money! I wholeheartedly recommend her services.",10
Stacey,Philip Smith,5,,,10
Kimberley,Richard Lucy,5,Everything promised is delivered.,"Thorough, friendly, informative, prompt, understandable and most importantly everything promised was delivered.",10
Philip,Karen Mills,5,,,9
Thomas,Laura Turner,5,Brilliant,Brilliant advice given and excellent at getting the best deals,10
Terry,Emily Chattaway,5,Great Company,"Helpful, friendly and professional.",10
James,Matt Stephens,5,Mortgage Hero!,Matt and his team were fantastic. They found the best options and explained them to me in a clear and concise way. Once a decision was made they took care of everything. Couldn't praise or recommend him more highly.,10
Katie,Rob Chart,5,,,10
Kehinde,Phil James,5,,Detailed information about products and services that meet my requirements/needs. Very professional at all times. Happy customer.,9
William,Philip Smith,5,Highly recommended.,Philip was excellent- friendly  exceptionally knowledgeable and made the whole process of remortgaging straight forward. Thank you - I would highly recommend this company to anyone.,10
Zoe,Richard Owen,5,Mortgage advice,Richard gave a very thorough and supportive service with every step in the mortgage process explained fully. I felt involved in all of the process and decision making. I was happy with the product chosen. Very friendly and helpful too!,10
Adam,Carl Thorne,5,Amazing Team,"Carl Thorne and Jill Craig went absolutely above and beyond for us throughout the whole process. Nothing was ever too much trouble, and they consistently went the extra mile to help us and keep everything moving forward.
I genuinely believe that without their hard work, dedication and willingness to go above and beyond, my partner and I would not have been able to get our house purchase over the line.
We cannot thank them enough for everything they did for us, and we honestly cannot recommend this company and its fantastic staff highly enough. Exceptional service from start to finish!",10
Marie,Richard Owen,5,,Very good. Richard was great and helped us sort through everything. Thank you,10
Lauren,Graham Morris,5,Mortgage review,"Always helpful and knowledgeable.
This is the 2nd time we have used Graham Morris for our mortgage and he has always be 10/10.",10
Claire,Scott Sutton,5,Excellent,Fantastic service from start to finish. Scott and Sophie were so helpful,10
Wayne,Andy Poustie,5,,"Andrew provided a brilliant service, helped us find the right mortgage for our needs and supported us through the entire process.",10
Florrie,Emily Chattaway,5,A Five-Star Mortgage Broker,"I cannot recommend Emily at Finance Planning Mortgage & Protection highly enough. From start to finish, she was absolutely amazing and couldn't have been more helpful throughout the entire mortgage process.

Emily was always available to answer any questions I had, no matter how small, and she took the time to explain everything clearly and thoroughly. Her expertise and reassurance made the whole experience seamless and she always had my best interests at heart and genuinely cared about finding the right solution for me. Her dedication, knowledge, and excellent communication gave me complete confidence every step of the way.

If you're looking for a mortgage broker who goes above and beyond for her clients, I would highly recommend Emily without any hesitation. Thank you for all your help and support!",10
Simon,Andy Poustie,5,Excellent,Andy is very efficient and we trust him and will continue to use and recommend him,10
Victoria,Rob Chart,5,"Experience, reliability and outstanding customer service.","What can I say about Rob and the exceptional service he and his team provide? From start to finish, they take care of everything for you, making the whole process completely stress-free.
Rob is extremely knowledgeable, professional and always provides honest, helpful advice. We have been using Rob’s services for over 20 years, and we wouldn’t consider going anywhere else. We will continue to use him for as long as we need his services.
I really can’t recommend Rob and his team highly enough. Their experience, reliability and outstanding customer service are second to none!",10
Andrew,Clare Mann,5,,,10
Jake,Jack Savory,5,Jack Savoury,"Jack Savoury was brilliant in helping us with almost everything we would recommend him to anyone. Made the process so smooth and was always keeping us in the loop with updates.

Thank you Jack,

From

Chloe and Jake",10
Gary,Hannah Logan-Hughes,5,5 Star Experience,"Hannah was superb! Patient, provided all the detail and information in a timely manner that we understood. Answered all our questions and managed to save us money when rates were all over the place.

Can’t recommend her enough and will definitely use her again.",10
Rebecca,Oscar Delves,5,A reliable service,"Oscar was approachable, easy to deal with, and available when I had questions. He arranged my new mortgage in advance, which made the whole process less stressful. Communication was good throughout, and the service was reliable and professional.",10
Charlotte,Ben Burgess,5,Ben Burgess Insurance,Ben Burgess was amazing explained everything so I understood what insurance suited me best both by cost and cover. Thanks again Ben,10
Amy,Jack Savory,5,,,10
Stephanie,Chris Bartrip,5,"Excellent service, very happy","Chris is very knowledgeable and takes the time to explain everything really clearly. He has secured us great rates, and is very responsive to any questions throughout the process. We have used Chris for our mortgage renewals and when we moved house, and wouldn’t use anyone else. Great service and a lovely guy to boot!",10
Rajendra,Phil James,5,,,10
Louisa,Charlotte Haddow,5,"Superb Serice, thanks","Charlotte was friendly, professional and efficient - what more could you want?",9
Lisa,Charlotte Haddow,5,Really happy,"Charlotte is great, thorough and knowledgeable. She took time to understand my needs and gave me options and advice.",10
